img,name,processor,cores,ram,storage,graphics_card,screen_size,os,warranty,rating,score,price,threads,disk_type,screen_size,screen_pixels,has_touchScreen
https://cdn1.smartprix.com/rx-iC1uclsPb-w280-h280/apple-macbook-air-20.webp,Apple MacBook Air 2022 Laptop,Apple M2,Octa Core (4P + 4E),8 GB DDR4 RAM,256 GB  ,8-Core GPU,"13.6 inches, 2560 x 1664 pixels",Mac OS,1 Year Warranty,4.15,50,74994,,SSD,13.6 inches, 2560 x 1664 pixels,0
https://cdn1.smartprix.com/rx-iAdJpvKre-w280-h280/asus-vivobook-15-x15.webp,Asus Vivobook 15 X1504VA-NJ546WS Laptop,13th Gen Intel Core i5 1335U,10 Cores (2P + 8E),16 GB RAM,512 GB  ,Integrated Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty,4.25,53,55990, 12 Threads,SSD,15.6 inches, 1920 x 1080 pixels,0
https://cdn1.smartprix.com/rx-iKhXwIsow-w280-h280/hp-victus-15-fa2191t.webp,HP Victus 15-fa2191TX Gaming Laptop,13th Gen Intel Core i5 13420H,Octa Core (4P + 4E),16 GB DDR4 RAM,512 GB  ,4 GB NVIDIA GeForce RTX 3050A,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty,4.45,63,66400, 12 Threads,SSD,15.6 inches, 1920 x 1080 pixels,0
https://cdn1.smartprix.com/rx-i7HWJjVyl-w280-h280/dell-14-plus-odb1425.webp,Dell 14 Plus ODB1425550701RINU1 AI Laptop,AMD Ryzen AI 5 340,,16 GB LPDDR5X RAM,512 GB  ,AMD Radeon,"14 inches, 1920 x 1200 pixels, Touch Screen",Windows 11 OS,1 Year Warranty,4.35,43,76490,,SSD,14 inches, 1920 x 1200 pixels,1
https://cdn1.smartprix.com/rx-ifKlH7VeE-w280-h280/hp-omen-16-ae0002tx.webp,HP Omen 16-ae0002TX Gaming Laptop,14th Gen Intel Core i7 14650HX,16 Cores (8P + 8E),16 GB DDR5 RAM,1 TB  ,8 GB NVIDIA GeForce RTX 4060,"16.1 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty,4.25,75,118900, 24 Threads,SSD,16.1 inches, 1920 x 1080 pixels,0
https://cdn1.smartprix.com/rx-iysFqvw3O-w280-h280/lenovo-loq-15arp9-83.webp,Lenovo LOQ 15ARP9 83JC00JYIN Gaming Laptop,7th Gen AMD Ryzen 7 7435HS,Octa Core,24 GB DDR5 RAM,512 GB  ,6 GB NVIDIA GeForce RTX 4050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty,4.65,73,84990, 16 Threads,SSD,15.6 inches, 1920 x 1080 pixels,0
https://cdn1.smartprix.com/rx-i5lKpJGRl-w280-h280/msi-thin-15-b13uc-32.webp,MSI Thin 15 B13UC-3231IN Gaming Laptop,13th Gen Intel Core i5 13420H,Octa Core (4P + 4E),16 GB DDR4 RAM,512 GB  ,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,2 Year Warranty,4.4,61,66990, 12 Threads,SSD,15.6 inches, 1920 x 1080 pixels,0
https://cdn1.smartprix.com/rx-irlYk4WFA-w280-h280/hp-omnibook-5-next-g.webp,HP OmniBook 5 Next Gen AI 14-he0014QU Laptop,Qualcomm Snapdragon X X1-26-100,Octa Core,16 GB LPDDR5X RAM,512 GB  ,Qualcomm Adreno GPU,"14 inches, 1920 x 1200 pixels, Touch Screen",Windows 11 OS,1 Year Warranty,4.35,51,68990,,SSD,14 inches, 1920 x 1200 pixels,1
https://cdn1.smartprix.com/rx-iEX0xorux-w280-h280/hp-15-fd0574tu-lapto.webp,HP 15-fd0574TU Laptop,13th Gen Intel Core i3 1315U,Hexa Core (2P + 4E),16 GB DDR4 RAM,512 GB  ,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty,4.7,55,39499, 8 Threads,SSD,15.6 inches, 1920 x 1080 pixels,0
https://cdn1.smartprix.com/rx-iTtYUWmtK-w280-h280/asus-tuf-gaming-a15.webp,Asus TUF Gaming A15 FA566NCR-HN117W Laptop,7th Gen AMD Ryzen 7 7435HS,Octa Core,16 GB DDR5 RAM,1 TB  ,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty,4.15,71,67990, 16 Threads,SSD,15.6 inches, 1920 x 1080 pixels,0
https://cdn1.smartprix.com/rx-iHH32TN1M-w280-h280/asus-expertbook-p1-p.webp,Asus Expertbook P1 P1503CVA-S71074WS Laptop,13th Gen Intel Core i3 1315U,Hexa Core (2P + 4E),16 GB DDR5 RAM,512 GB  ,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty,4.05,57,35990, 8 Threads,SSD,15.6 inches, 1920 x 1080 pixels,0
https://cdn1.smartprix.com/rx-iKjrv2HOs-w280-h280/motorola-motobook-60.webp,Motorola Motobook 60 Laptop,Intel Core 5 210H,Octa Core (4P + 4E),16 GB DDR5 RAM,512 GB  ,Intel Integrated,"14 inches, 2880 x 1880 pixels",Windows 11 OS,1 Year Warranty,4.15,56,54990, 12 Threads,SSD,14 inches, 2880 x 1880 pixels,0
https://cdn1.smartprix.com/rx-iPPennwhJ-w280-h280/acer-aspire-3-a311-4.webp,Acer Aspire 3 A311-45 UN.354SI.002 Laptop,Intel Celeron N4500,Dual Core,8 GB DDR4 RAM,512 GB  ,Intel Integrated UHD,"11.6 inches, 1366 x 768 pixels",Windows 11 OS,1 Year Warranty,4.65,43,19990, 2 Threads,SSD,11.6 inches, 1366 x 768 pixels,0
https://cdn1.smartprix.com/rx-ixtaSikcd-w280-h280/msi-katana-15-hx-b14.webp,MSI Katana 15 HX B14WFK-641IN Gaming Laptop,14th Gen Intel Core i5 14450HX,10 Cores (6P + 4E),16 GB DDR5 RAM,1 TB  ,8 GB NVIDIA GeForce RTX 5060,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,2 Year Warranty,4.75,75,134990, 16 Threads,SSD,15.6 inches, 1920 x 1080 pixels,0
https://cdn1.smartprix.com/rx-i6DEjtfpN-w280-h280/acer-aspire-3-a324-5.webp,Acer Aspire 3 A324-51 UN.343SI.003 Laptop,12th Gen Intel Core i5 1235U,10 Cores (2P + 8E),16 GB RAM,512 GB  ,Intel Integrated UHD,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty,4.55,51,34990, 12 Threads,SSD,14 inches, 1920 x 1080 pixels,0
https://cdn1.smartprix.com/rx-iz3ki2Hb4-w280-h280/infinix-gt-book-gami.webp,Infinix GT Book Gaming Laptop,13th Gen Intel Core i9 13900H,14 Cores (6P + 8E),32 GB LPDDR5X RAM,1 TB  ,8 GB NVIDIA GeForce RTX 4060,"16 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty,4.3,74,94990, 20 Threads,SSD,16 inches, 1920 x 1200 pixels,0
https://cdn1.smartprix.com/rx-ipPNIsNt2-w280-h280/samsung-galaxy-book.webp,Samsung Galaxy Book 4 np750xgj-kg2in Laptop,13th Gen Intel Core i5 1335U,10 Cores (2P + 8E),16 GB LPDDR4x RAM,512 GB  ,Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty,4.05,57,53270, 12 Threads,SSD,15.6 inches, 1920 x 1080 pixels,0
https://cdn1.smartprix.com/rx-ibZvrxnje-w280-h280/asus-vivobook-go-15.webp,Asus Vivobook Go 15 OLED 2023 E1504FA-LK541WS Laptop,7th Gen AMD Ryzen 5 7520U,Quad Core,16 GB LPDDR5 RAM,512 GB  ,AMD Radeon AMD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty,4.2,55,39990, 8 Threads,SSD,15.6 inches, 1920 x 1080 pixels,0
https://cdn1.smartprix.com/rx-inza4ZqU1-w280-h280/samsung-galaxy-book2.webp,Samsung Galaxy Book2 Laptop,12th Gen Intel Core i5 1240P,12 Cores (4P + 8E),8 GB LPDDR4x RAM,512 GB  ,4 GB Intel Arc A350M Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty,4.15,61,44899, 16 Threads,SSD,15.6 inches, 1920 x 1080 pixels,0
https://cdn1.smartprix.com/rx-i8LoRfahC-w280-h280/lenovo-thinkbook-14.webp,Lenovo ThinkBook 14 21SGA02WIG Laptop,Intel Core 5 210H,Octa Core (4P + 4E),16 GB DDR5 RAM,512 GB  ,Intel Graphics,"14 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty,4.25,54,66317, 12 Threads,SSD,14 inches, 1920 x 1200 pixels,0
https://cdn1.smartprix.com/rx-iWVlT2A29-w280-h280/asus-vivobook-15-m15.webp,Asus Vivobook 15 M1502YA-BQ712WS Laptop,5th Gen AMD Ryzen 7 5825U,Octa Core,16 GB RAM,1 TB  ,Intergrated AMD Radeon Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty,4.3,55,53990, 16 Threads,SSD,15.6 inches, 1920 x 1080 pixels,0
https://cdn1.smartprix.com/rx-i9h2v5aQl-w280-h280/hp-victus-15-fb3125a.webp,HP Victus 15-fb3125AX Gaming Laptop,7th Gen AMD Ryzen 7 7445H,Hexa Core,16 GB DDR5 RAM,512 GB  ,NVIDIA GeForce RTX 4050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty,4.05,56,69990, 12 Threads,SSD,15.6 inches, 1920 x 1080 pixels,0
https://cdn1.smartprix.com/rx-iIde3DoPH-w280-h280/dell-14-plus-odb1425.webp,Dell 14 Plus ODB1425550901RINU11 AI Laptop,AMD Ryzen AI 7 350,Octa Core,16 GB LPDDR5X RAM,1 TB  ,AMD Radeon 860M,"14 inches, 1920 x 1200 pixels, Touch Screen",Windows 11 OS,1 Year Warranty,4.05,51,87990, 16 Threads,SSD,14 inches, 1920 x 1200 pixels,1
https://cdn1.smartprix.com/rx-i2BgLZ6zy-w280-h280/lenovo-thinkbook-16.webp,Lenovo ThinkBook 16 G6 21KKA0J2IN Laptop,7th Gen AMD Ryzen 3 7330U,Quad Core,8 GB DDR4 RAM,512 GB  ,AMD Radeon Graphics,"16 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty,4.05,61,34485, 8 Threads,SSD,16 inches, 1920 x 1200 pixels,0
https://cdn1.smartprix.com/rx-i3PIg5uOv-w280-h280/asus-chromebook-cx15.webp,Asus Chromebook CX1505CKA-S70179 Laptop,Intel Celeron N4500,Dual Core,4 GB LPDDR4X RAM,64 GB  ,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Chrome OS,1 Year Warranty,4.25,32,19990, 2 Threads,eMMC,15.6 inches, 1920 x 1080 pixels,0
